,PCC
price,1.0
baths,0.6026308955848786
beds,0.549454417183823
sqft,0.44364980301900914
Amenity_Concierge,0.31450446231748214
Amenity_A_24_Hour_Access,0.2319977788012468
Amenity_Washer_Dryer,0.22035902588121767
Amenity_Fitness_Center,0.2198249388873388
Amenity_Double_Vanities,0.2130513385755713
Amenity_Conference_Rooms,0.2028107578486761
Amenity_Island_Kitchen,0.20033816404079352
Amenity_Walk_In_Closets,0.18348744624617772
Amenity_Package_Service,0.17717260840219068
Amenity_On_Site_Retail,0.16877725545155325
Amenity_Air_Conditioning,0.16424839698913338
Amenity_Public_Transportation,0.1579318088338699
Amenity_Bicycle_Storage,0.1498150493384415
Amenity_Elevator,0.14952882582236568
Amenity_EV_Charging,0.14370159868743623
Amenity_Recycling,0.14016818408987072
Amenity_Views,0.1369354312094409
Amenity_Furnished_Units_Available,0.13368608335914026
Amenity_Sundeck,0.1313296657622646
Amenity_Lounge,0.1311401302718137
Amenity_Property_Manager_on_Site,0.13027019955830363
Amenity_Dry_Cleaning_Service,0.12837750843038975
Amenity_Multi_Use_Room,0.12569940835227997
Amenity_Pantry,0.12473036654432211
Amenity_Furnished,0.12046213681231505
Amenity_Health_Club_Discount,0.11723101999468065
Amenity_Pet_Play_Area,0.11642016531338772
Amenity_Wheelchair_Accessible_Rooms,0.11634515986131945
Amenity_Stainless_Steel_Appliances,0.11557175314952717
Amenity_Den,0.11333209147963365
Amenity_Hearing_Impaired_Accessible,0.11096918092885355
Amenity_Planned_Social_Activities,0.11019809783645812
Amenity_House_Sitter_Services,0.10976748638697209
Amenity_Ice_Maker,0.10973150556865423
Amenity_Vision_Impaired_Accessible,0.10964045568738923
Amenity_Large_Bedrooms,0.10901687216445204
Amenity_Hardwood_Floors,0.10424457532889021
Amenity_Cabana,0.1012467253176849
Amenity_Online_Services,0.09876855498722893
Amenity_Double_Pane_Windows,0.09616521302569152
Amenity_Media_Center_Movie_Theatre,0.0955610494533043
Amenity_Clubhouse,0.09499052825694462
Amenity_Recreation_Room,0.09133443509271578
Amenity_Window_Coverings,0.08697079280209173
Amenity_Car_Wash_Area,0.08673960478464747
Amenity_Controlled_Access,0.08540738683790257
Amenity_Spa,0.08509678636674502
Amenity_Oven,0.0842799244271634
Amenity_Disposal_Chutes,0.08306976442292122
Amenity_Breakfast_Coffee_Concierge,0.08105749270997346
Amenity_Laundry_Service,0.07967403915731591
